"Bron/techniek";"Energietoepassingen";"Perioden";"Vermeden verbruik van fossiele energie/Vermeden verbruik (TJ)";"Vermeden emissie van kooldioxide (CO2)/Vermeden emissie (kton)"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2016";"    4083";"     387"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2017";"    4883";"     462"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2018";"    5674";"     537"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2019";"   15525";"    1470"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2020";"   40359";"    3822"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2021";"   56488";"    5349"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2022";"   46029";"    4359"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2023";"   31971";"    3028"
"Bij- en meestoken biomassa in centrales";"Totaal energietoepassingen";"2024**";"   26821";"    2540"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2010";"   10339";"     585"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2011";"   10745";"     607"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2012";"   10480";"     592"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2013";"   10706";"     605"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2014";"   10799";"     609"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2015";"   10847";"     613"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2016";"   10874";"     614"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2017";"   10932";"     619"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2018";"   11115";"     629"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2019";"   11168";"     632"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2020";"   11215";"     633"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2021";"   11389";"     642"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2022";"   11507";"     650"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2023";"   11600";"     653"
"Totaal biomassa huishoudens";"Totaal energietoepassingen";"2024**";"   11680";"     656"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2010";"     284";"      16"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2011";"     276";"      16"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2012";"     268";"      15"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2013";"     260";"      15"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2014";"     252";"      14"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2015";"     244";"      14"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2016";"     237";"      13"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2017";"     229";"      13"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2018";"     221";"      13"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2019";"     211";"      12"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2020";"     202";"      11"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2021";"     194";"      11"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2022";"     187";"      11"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2023";"     180";"      10"
"Biomassa huishoudens, openhaarden";"Totaal energietoepassingen";"2024**";"     173";"      10"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2010";"    2424";"     137"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2011";"    2449";"     138"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2012";"    1959";"     111"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2013";"    1879";"     106"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2014";"    1842";"     104"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2015";"    1799";"     102"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2016";"    1757";"      99"
"Biomassa huishoudens, inzethaarden";"Totaal energietoepassingen";"2017";"    1717";"      97"
